    inst#     actual  predicted error prediction
      889        1:?        1:N       0.946 
      890        1:?        1:N       0.992 
      891        1:?        1:N       1 
      892        1:?        1:N       0.999 
      893        1:?        1:N       0.761 
      894        1:?        1:N       1 
      895        1:?        1:N       0.983 
      896        1:?        1:N       1 
      897        1:?        1:N       0.991 
      898        1:?        1:N       0.987 
      899        1:?        1:N       0.991 
      900        1:?        1:N       0.998 
      901        1:?        1:N       0.994 
      902        1:?        2:Y       1 
      903        1:?        2:Y       0.614 
      904        1:?        1:N       0.8 
      905        1:?        1:N       0.964 
      906        1:?        1:N       1 
      907        1:?        1:N       0.979 
      908        1:?        1:N       0.836 
      909        1:?        1:N       0.98 
      910        1:?        1:N       0.935 
      911        1:?        1:N       0.998 
      912        1:?        1:N       0.975 
      913        1:?        1:N       0.999 
      914        1:?        2:Y       0.545 
      915        1:?        2:Y       1 
      916        1:?        2:Y       0.98 
      917        1:?        1:N       0.956 
      918        1:?        1:N       0.99 
      919        1:?        1:N       0.973 
      920        1:?        1:N       0.978 
      921        1:?        1:N       0.995 
      922        1:?        1:N       0.987 
      923        1:?        1:N       1 
      924        1:?        1:N       0.987 
      925        1:?        2:Y       0.965 
      926        1:?        1:N       0.987 
      927        1:?        1:N       0.974 
      928        1:?        2:Y       0.979 
      929        1:?        1:N       0.887 
      930        1:?        1:N       0.997 
      931        1:?        1:N       0.936 
      932        1:?        1:N       0.769 
      933        1:?        1:N       0.542 
      934        1:?        1:N       1 
      935        1:?        1:N       0.954 
      936        1:?        1:N       0.999 
      937        1:?        1:N       0.991 
      938        1:?        1:N       0.982 
      939        1:?        1:N       0.988 
      940        1:?        1:N       0.994 
      941        1:?        1:N       0.99 
      942        1:?        1:N       0.826 
      943        1:?        1:N       0.993 
      944        1:?        1:N       1 
      945        1:?        2:Y       0.994 
      946        1:?        2:Y       0.976 
      947        1:?        1:N       0.979 
      948        1:?        1:N       0.988 
      949        1:?        1:N       0.994 
      950        1:?        1:N       0.975 
      951        1:?        1:N       0.984 
      952        1:?        1:N       0.905 
      953        1:?        1:N       0.779 
      954        1:?        1:N       0.934 
      955        1:?        1:N       0.918 
      956        1:?        1:N       0.986 
      957        1:?        1:N       0.972 
      958        1:?        1:N       0.994 
      959        1:?        1:N       0.969 
      960        1:?        1:N       0.994 
      961        1:?        2:Y       0.984 
      962        1:?        1:N       0.997 
      963        1:?        1:N       0.997 
      964        1:?        2:Y       0.885 
      965        1:?        2:Y       0.792 
      966        1:?        1:N       0.885 
      967        1:?        1:N       0.994 
      968        1:?        1:N       0.974 
      969        1:?        1:N       0.99 
      970        1:?        1:N       0.997 
      971        1:?        1:N       0.996 
      972        1:?        1:N       1 
      973        1:?        2:Y       0.971 
      974        1:?        1:N       0.997 
      975        1:?        2:Y       0.887 
      976        1:?        1:N       0.994 
      977        1:?        1:N       0.994 
      978        1:?        1:N       0.993 
      979        1:?        2:Y       0.894 
      980        1:?        1:N       0.989 
      981        1:?        1:N       0.932 
      982        1:?        2:Y       1 
      983        1:?        1:N       0.938 
      984        1:?        2:Y       1 
      985        1:?        2:Y       1 
      986        1:?        2:Y       0.992 
      987        1:?        2:Y       0.607 
      988        1:?        1:N       0.965 
      989        1:?        1:N       0.99 
      990        1:?        1:N       0.99 
      991        1:?        1:N       0.956 
      992        1:?        2:Y       0.999 
      993        1:?        1:N       0.963 
      994        1:?        1:N       0.997 
      995        1:?        1:N       0.993 
      996        1:?        2:Y       1 
      997        1:?        1:N       0.996 
      998        1:?        1:N       0.989 
      999        1:?        1:N       0.956 
     1000        1:?        1:N       0.958 
     1001        1:?        2:Y       0.979 
     1002        1:?        2:Y       0.996 
     1003        1:?        1:N       0.95 
     1004        1:?        1:N       0.996 
     1005        1:?        2:Y       0.784 
     1006        1:?        1:N       0.994 
     1007        1:?        1:N       0.984 
     1008        1:?        1:N       0.984 
     1009        1:?        1:N       0.994 
     1010        1:?        1:N       0.939 
     1011        1:?        1:N       0.985 
     1012        1:?        1:N       0.579 
     1013        1:?        1:N       0.999 
     1014        1:?        1:N       0.994 
     1015        1:?        1:N       0.871 
     1016        1:?        1:N       0.988 
     1017        1:?        1:N       0.949 
     1018        1:?        2:Y       1 
     1019        1:?        2:Y       0.97 
     1020        1:?        2:Y       0.594 
     1021        1:?        1:N       0.825 
     1022        1:?        2:Y       0.858 
     1023        1:?        1:N       0.934 
     1024        1:?        1:N       1 
     1025        1:?        1:N       0.853 
     1026        1:?        1:N       0.929 
     1027        1:?        1:N       0.96 
     1028        1:?        1:N       0.989 
     1029        1:?        1:N       0.932 
     1030        1:?        1:N       0.993 
     1031        1:?        1:N       0.993 
     1032        1:?        1:N       0.958 
     1033        1:?        1:N       1 
     1034        1:?        2:Y       0.57 
     1035        1:?        1:N       0.965 
     1036        1:?        1:N       0.942 
     1037        1:?        1:N       1 
     1038        1:?        1:N       0.984 
     1039        1:?        1:N       0.995 
     1040        1:?        1:N       0.935 
     1041        1:?        2:Y       0.691 
     1042        1:?        1:N       0.996 
     1043        1:?        1:N       0.973 
     1044        1:?        1:N       0.877 
     1045        1:?        1:N       0.932 
     1046        1:?        2:Y       0.998 
     1047        1:?        1:N       0.751 
     1048        1:?        1:N       1 
     1049        1:?        1:N       0.998 
     1050        1:?        1:N       1 
     1051        1:?        1:N       0.959 
     1052        1:?        1:N       0.992 
     1053        1:?        1:N       0.994 
     1054        1:?        1:N       0.979 
     1055        1:?        1:N       0.996 
     1056        1:?        2:Y       0.762 
     1057        1:?        2:Y       0.969 
     1058        1:?        2:Y       0.97 
     1059        1:?        1:N       0.923 
     1060        1:?        1:N       0.925 
     1061        1:?        1:N       0.682 
     1062        1:?        1:N       0.871 
     1063        1:?        1:N       0.815 
     1064        1:?        1:N       0.942 
     1065        1:?        2:Y       0.962 
     1066        1:?        2:Y       1 
     1067        1:?        2:Y       0.872 
     1068        1:?        1:N       0.994 
     1069        1:?        1:N       0.51 
     1070        1:?        1:N       0.958 
     1071        1:?        1:N       0.907 
     1072        1:?        2:Y       0.523 
     1073        1:?        1:N       0.98 
     1074        1:?        1:N       0.999 
     1075        1:?        2:Y       1 
     1076        1:?        1:N       0.991 
     1077        1:?        1:N       0.999 
     1078        1:?        1:N       0.816 
     1079        1:?        2:Y       1 
     1080        1:?        2:Y       0.538 
     1081        1:?        2:Y       0.538 
     1082        1:?        1:N       0.994 
     1083        1:?        1:N       0.994 
     1084        1:?        1:N       0.637 
     1085        1:?        1:N       0.999 
     1086        1:?        2:Y       0.869 
     1087        1:?        2:Y       0.9 

